"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Get-AzureADGroupAppRoleAssignment","AzureAD","Get-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /groups/{group-id}/appRoleAssignments","True","False"
"Remove-AzureADContactManager","AzureAD","Remove-MgContactManagerByRef","","","","False","False"
"Get-AzureADDeviceRegisteredUser","AzureAD","Get-MgDeviceRegisteredUser","Microsoft.Graph.Identity.DirectoryManagement","Device.Read.All;Directory.Read.All;Directory.ReadWrite.All","GET /devices/{device-id}/registeredUsers","True","False"
"Set-MsolCompanySettings","MSOnline","Update-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.ReadWrite.All;DeviceManagementServiceConfig.ReadWrite.All;Organization.ReadWrite.All","PATCH /organization/{organization-id}","True","False"
"Add-AzureADGroupOwner","AzureAD","New-MgGroupOwnerByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","POST /groups/{group-id}/owners/$ref","True","False"
"Redo-MsolProvisionUser","MSOnline","","","","","False","False"
"New-AzureADDomain","AzureAD","New-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","POST /domains","True","False"
"New-AzureADApplicationPasswordCredential","AzureAD","Add-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications/{application-id}/addPassword","True","False"
"Add-MsolScopedRoleMember","MSOnline","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","","POST /directoryRoles/{directoryRole-id}/scopedMembers","True","False"
"Add-AzureADGroupMember","AzureAD","New-MgGroupMember","Microsoft.Graph.Groups","","","True","False"
"Add-AzureADDirectoryRoleMember","AzureAD","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleManagement.ReadWrite.Directory","POST /directoryRoles/{directoryRole-id}/members/$ref","True","False"
"Get-AzureADGroupOwner","AzureAD","Get-MgGroupOwner","Microsoft.Graph.Groups","Directory.Read.All;Group.Read.All;Group.ReadWrite.All;GroupMember.Read.All;GroupMember.ReadWrite.All","GET /groups/{group-id}/owners","True","False"
